date,time,category,sub_category,count,priority,department,days_ago
2025-01-02,14:53,IT Support,Software Installation/Update,1,Medium,IT Department,
2025-01-02,12:34,New Budget Proposal,Capital Expenses (CapEx),1,High,Budget Department,
2025-01-02,14:17,New Budget Proposal,Capital Expenses (CapEx),3,High,Budget Department,
2025-01-02,09:38,IT Support,Internet/Network Connectivity Issue,1,High,IT Department,
2025-01-02,10:08,Asset Check Out,Keyboard,2,Low,Asset Department,
2025-01-02,12:48,IT Support,Software Installation/Update,1,Medium,IT Department,
2025-01-02,08:02,IT Support,Hardware Troubleshooting,3,High,IT Department,
2025-01-03,08:14,IT Support,Software Installation/Update,1,Medium,IT Department,
2025-01-03,16:48,IT Support,Software Installation/Update,1,Medium,IT Department,
2025-01-03,02:30,Asset Check In,Monitor,1,Low,Asset Department,
2025-01-03,08:34,IT Support,Data Backup/Restore,3,Medium,IT Department,
2025-01-05,18:25,IT Support,Technical Assistance,3,Medium,IT Department,
2025-01-06,06:25,IT Support,Hardware Troubleshooting,1,High,IT Department,
2025-01-06,19:07,Asset Check In,Monitor,1,Low,Asset Department,
2025-01-06,10:18,Asset Check Out,Keyboard,3,Low,Asset Department,
2025-01-06,14:34,IT Support,Internet/Network Connectivity Issue,2,Critical,IT Department,
2025-01-06,10:49,Asset Check Out,Keyboard,3,Low,Asset Department,
2025-01-06,20:38,IT Support,Software Installation/Update,2,Medium,IT Department,
2025-01-06,08:06,Asset Check In,Monitor,1,Low,Asset Department,
2025-01-06,18:01,Asset Check Out,Keyboard,3,Low,Asset Department,
2025-01-06,14:49,IT Support,Data Backup/Restore,1,Medium,IT Department,
2025-01-06,08:35,New Budget Proposal,Capital Expenses (CapEx),3,High,Budget Department,
2025-01-06,13:46,Asset Check Out,Keyboard,1,Low,Asset Department,
2025-01-07,20:57,IT Support,Technical Assistance,2,Medium,IT Department,
2025-01-07,18:35,Others,,3,Low,IT Department,
2025-01-07,08:34,IT Support,Software Installation/Update,1,Medium,IT Department,
2025-01-07,10:12,Asset Check In,Monitor,3,Low,Asset Department,
2025-01-07,16:19,IT Support,Software Installation/Update,3,Medium,IT Department,
2025-01-08,12:58,IT Support,Internet/Network Connectivity Issue,1,Critical,IT Department,
2025-01-08,19:20,Asset Check In,Monitor,1,Low,Asset Department,
2025-01-08,09:27,New Budget Proposal,Operational Expenses (OpEx),1,Medium,Budget Department,
2025-01-08,13:53,Asset Check Out,Laptop,1,Medium,Asset Department,
2025-01-08,12:09,IT Support,Technical Assistance,1,Medium,IT Department,
2025-01-08,14:17,Others,,3,Low,IT Department,
2025-01-09,08:23,IT Support,Hardware Troubleshooting,1,High,IT Department,
2025-01-09,10:27,IT Support,Virus/Malware Check,3,Critical,IT Department,
2025-01-09,15:07,Asset Check Out,Laptop,1,Medium,Asset Department,
2025-01-09,09:37,IT Support,Data Backup/Restore,3,Medium,IT Department,
2025-01-09,15:57,Asset Check Out,Laptop,2,Medium,Asset Department,
2025-01-09,14:38,IT Support,Internet/Network Connectivity Issue,3,Critical,IT Department,
2025-01-10,08:08,Asset Check Out,Keyboard,2,Low,Asset Department,
2025-01-10,08:47,IT Support,Hardware Troubleshooting,2,High,IT Department,
2025-01-10,19:26,Asset Check Out,Laptop,3,Medium,Asset Department,
2025-01-10,20:28,IT Support,Technical Assistance,3,Medium,IT Department,
2025-01-12,21:48,New Budget Proposal,Operational Expenses (OpEx),2,Medium,Budget Department,
2025-01-13,15:17,Asset Check Out,Keyboard,3,Low,Asset Department,
2025-01-13,13:32,Asset Check Out,Laptop,2,Medium,Asset Department,
2025-01-13,13:52,IT Support,Software Installation/Update,1,Medium,IT Department,
2025-01-13,19:30,IT Support,Hardware Troubleshooting,1,High,IT Department,
2025-01-13,14:14,Asset Check In,Monitor,1,Low,Asset Department,
2025-01-13,09:31,Asset Check Out,Keyboard,3,Low,Asset Department,
2025-01-13,20:29,Asset Check In,Monitor,3,Low,Asset Department,
2025-01-13,13:47,IT Support,Virus/Malware Check,3,Critical,IT Department,
2025-01-13,19:48,IT Support,Data Backup/Restore,1,Medium,IT Department,
2025-01-13,08:22,Asset Check Out,Laptop,3,Medium,Asset Department,
2025-01-13,09:22,New Budget Proposal,Operational Expenses (OpEx),1,Medium,Budget Department,
2025-01-14,10:47,IT Support,Software Installation/Update,3,Medium,IT Department,
2025-01-14,10:55,Asset Check Out,Laptop,3,Medium,Asset Department,
2025-01-14,10:22,IT Support,Internet/Network Connectivity Issue,1,Critical,IT Department,
2025-01-14,08:20,IT Support,Software Installation/Update,3,Medium,IT Department,
2025-01-14,15:28,IT Support,Internet/Network Connectivity Issue,2,High,IT Department,
2025-01-15,08:36,IT Support,Internet/Network Connectivity Issue,3,High,IT Department,
2025-01-15,10:28,Asset Check In,Monitor,3,Low,Asset Department,
2025-01-15,20:34,Asset Check Out,Laptop,1,Medium,Asset Department,
2025-01-15,09:25,Asset Check Out,Keyboard,1,Low,Asset Department,
2025-01-15,19:59,New Budget Proposal,Operational Expenses (OpEx),1,Medium,Budget Department,
2025-01-16,10:04,IT Support,Hardware Troubleshooting,1,High,IT Department,
2025-01-16,05:18,Asset Check In,Monitor,1,Low,Asset Department,
2025-01-16,13:42,IT Support,Virus/Malware Check,2,Critical,IT Department,
2025-01-16,09:52,Asset Check Out,Laptop,2,Medium,Asset Department,
2025-01-16,10:46,Asset Check In,Monitor,2,Low,Asset Department,
2025-01-17,12:04,IT Support,Internet/Network Connectivity Issue,1,Critical,IT Department,
2025-01-17,18:14,IT Support,Data Backup/Restore,1,Medium,IT Department,
2025-01-17,14:28,IT Support,Hardware Troubleshooting,1,High,IT Department,
2025-01-17,13:57,Others,,2,Low,IT Department,
2025-01-17,19:06,IT Support,Hardware Troubleshooting,1,High,IT Department,
2025-01-20,21:39,IT Support,Internet/Network Connectivity Issue,2,Critical,IT Department,
2025-01-20,18:23,IT Support,Data Backup/Restore,1,Medium,IT Department,
2025-01-20,12:58,Others,,1,Low,IT Department,
2025-01-20,19:46,Asset Check Out,Keyboard,3,Low,Asset Department,
2025-01-20,13:37,IT Support,Internet/Network Connectivity Issue,3,Critical,IT Department,
2025-01-20,12:57,Asset Check Out,Keyboard,3,Low,Asset Department,
2025-01-20,18:31,IT Support,Virus/Malware Check,3,Critical,IT Department,
2025-01-20,09:19,IT Support,Data Backup/Restore,2,Medium,IT Department,
2025-01-20,14:39,IT Support,Hardware Troubleshooting,3,High,IT Department,
2025-01-20,09:55,Asset Check Out,Keyboard,3,Low,Asset Department,
2025-01-21,08:12,New Budget Proposal,Capital Expenses (CapEx),2,High,Budget Department,
2025-01-21,19:53,IT Support,Internet/Network Connectivity Issue,3,Critical,IT Department,
2025-01-21,19:19,IT Support,Hardware Troubleshooting,1,High,IT Department,
2025-01-21,14:20,IT Support,Hardware Troubleshooting,2,High,IT Department,
2025-01-21,13:54,IT Support,Software Installation/Update,3,Medium,IT Department,
2025-01-22,14:50,New Budget Proposal,Operational Expenses (OpEx),1,Medium,Budget Department,
2025-01-22,09:32,New Budget Proposal,Capital Expenses (CapEx),2,High,Budget Department,
2025-01-22,13:32,Asset Check Out,Keyboard,1,Low,Asset Department,
2025-01-22,14:06,Others,General Inquiry,2,Low,IT Department,
2025-01-22,12:27,IT Support,Software Installation/Update,2,Medium,IT Department,
2025-01-23,08:43,IT Support,Internet/Network Connectivity Issue,1,High,IT Department,
2025-01-23,10:53,Others,General Inquiry,1,Low,IT Department,
2025-01-23,18:07,Others,General Inquiry,2,Low,IT Department,
2025-01-23,13:58,Asset Check Out,Keyboard,3,Low,Asset Department,
2025-01-23,14:36,Asset Check Out,Laptop,3,Medium,Asset Department,
2025-01-23,14:26,Asset Check Out,Laptop,2,Medium,Asset Department,
2025-01-24,10:54,IT Support,Software Installation/Update,2,Medium,IT Department,
2025-01-24,09:13,IT Support,Data Backup/Restore,2,Medium,IT Department,
