date,time,category,sub_category,count,priority,department,days_ago
2025-07-18,10:39,Others,,1,Critical,IT Department,
2025-11-21,21:15,IT Support,Hardware Troubleshooting,1,High,IT Department,
2025-12-04,13:15,IT Support,Internet/Network Connectivity Issue,1,Low,IT Department,
2025-05-29,10:43,IT Support,Hardware Troubleshooting,1,High,IT Department,
2025-12-02,15:31,IT Support,Data Backup/Restore,1,Critical,IT Department,
2025-03-24,09:07,Others,General Inquiry,1,High,IT Department,
2025-11-06,10:00,Asset Check Out,Laptop,1,Critical,Asset Department,
2025-04-01,11:00,Asset Check Out,Laptop,1,High,Asset Department,
2025-01-06,04:02,Others,,1,Medium,IT Department,
2025-12-01,15:26,Others,General Inquiry,1,High,IT Department,
2025-01-23,10:13,Asset Check In,Monitor,1,Critical,Asset Department,
2025-04-25,14:16,New Budget Proposal,Capital Expenses (CapEx),1,Medium,Budget Department,
2025-06-27,15:14,Asset Check Out,Keyboard,1,High,Asset Department,
2025-01-07,15:16,Others,,1,Low,IT Department,
2025-01-15,08:07,New Budget Proposal,Operational Expenses (OpEx),1,Critical,Budget Department,
2025-08-13,15:45,IT Support,Hardware Troubleshooting,1,Critical,IT Department,
2025-12-29,16:37,IT Support,Internet/Network Connectivity Issue,1,Critical,IT Department,
2025-04-23,08:28,Asset Check Out,Keyboard,1,Medium,Asset Department,
2025-07-07,14:46,IT Support,Virus/Malware Check,1,Low,IT Department,
2025-05-25,15:35,IT Support,Hardware Troubleshooting,1,High,IT Department,
2025-09-22,09:07,IT Support,Internet/Network Connectivity Issue,1,Critical,IT Department,
2025-03-10,09:09,Others,,1,Medium,IT Department,
2025-03-31,11:24,IT Support,Virus/Malware Check,1,Low,IT Department,
2025-09-12,09:54,IT Support,Software Installation/Update,1,Medium,IT Department,
2025-09-29,16:23,New Budget Proposal,Operational Expenses (OpEx),1,Low,Budget Department,
2025-06-26,16:40,IT Support,Virus/Malware Check,1,Medium,IT Department,
2025-11-06,14:26,IT Support,Internet/Network Connectivity Issue,1,Low,IT Department,
2025-01-16,11:50,IT Support,Data Backup/Restore,1,Critical,IT Department,
2025-07-21,14:18,New Budget Proposal,Operational Expenses (OpEx),1,Medium,Budget Department,
2025-01-08,10:57,New Budget Proposal,Capital Expenses (CapEx),1,Low,Budget Department,
2025-11-19,15:32,IT Support,Technical Assistance,1,High,IT Department,
2025-02-10,14:27,Asset Check Out,Keyboard,1,Low,Asset Department,
2025-05-09,09:42,New Budget Proposal,Capital Expenses (CapEx),1,Low,Budget Department,
2025-03-03,15:13,Asset Check In,Monitor,1,High,Asset Department,
2025-02-05,13:01,IT Support,Hardware Troubleshooting,1,High,IT Department,
2025-04-14,09:05,Asset Check Out,Laptop,1,High,Asset Department,
2025-08-04,08:58,IT Support,Technical Assistance,1,Critical,IT Department,
2025-07-16,14:52,IT Support,Technical Assistance,1,Critical,IT Department,
2025-01-31,14:45,IT Support,Software Installation/Update,1,Low,IT Department,
2025-05-09,08:30,IT Support,Hardware Troubleshooting,1,Low,IT Department,
2025-10-07,11:28,Asset Check Out,Laptop,1,Critical,Asset Department,
2025-01-09,13:42,New Budget Proposal,Capital Expenses (CapEx),1,Medium,Budget Department,
2025-11-18,08:28,IT Support,Software Installation/Update,1,High,IT Department,
2025-12-01,16:22,Others,,1,Critical,IT Department,
2025-03-17,14:04,IT Support,Internet/Network Connectivity Issue,1,Critical,IT Department,
2025-08-27,10:59,IT Support,Hardware Troubleshooting,1,Critical,IT Department,
2025-08-27,14:25,IT Support,Virus/Malware Check,1,Medium,IT Department,
2025-04-08,10:49,IT Support,Internet/Network Connectivity Issue,1,Critical,IT Department,
2025-11-27,09:40,Others,,1,High,IT Department,
2025-12-22,14:16,New Budget Proposal,Capital Expenses (CapEx),1,Low,Budget Department,
2025-04-08,16:21,Others,,1,High,IT Department,
2025-02-06,10:02,New Budget Proposal,Capital Expenses (CapEx),1,Medium,Budget Department,
2025-07-01,10:49,New Budget Proposal,Capital Expenses (CapEx),1,Critical,Budget Department,
2025-06-18,11:15,Others,,1,Medium,IT Department,
2025-06-03,10:35,IT Support,Technical Assistance,1,Critical,IT Department,
2026-01-05,10:30,IT Support,Technical Assistance,1,High,IT Department,
2025-06-30,14:20,IT Support,Technical Assistance,1,Medium,IT Department,
2025-01-21,11:44,IT Support,Technical Assistance,1,Critical,IT Department,
2025-12-26,15:45,IT Support,Data Backup/Restore,1,Medium,IT Department,
2025-03-24,14:52,Others,,1,Medium,IT Department,
2025-12-17,10:33,IT Support,Hardware Troubleshooting,1,Low,IT Department,
2025-04-16,16:17,IT Support,Hardware Troubleshooting,1,High,IT Department,
2025-02-13,23:35,New Budget Proposal,Operational Expenses (OpEx),1,Medium,Budget Department,
2025-12-15,11:48,Others,General Inquiry,1,Medium,IT Department,
2025-07-15,16:28,IT Support,Data Backup/Restore,1,Medium,IT Department,
2025-01-24,10:12,IT Support,Technical Assistance,1,Critical,IT Department,
2025-10-27,11:26,Others,General Inquiry,1,Critical,IT Department,
2025-12-02,13:03,Others,,1,Low,IT Department,
2025-11-17,15:21,Asset Check Out,Keyboard,1,Critical,Asset Department,
2025-03-21,09:00,Others,General Inquiry,1,Low,IT Department,
2025-01-14,16:30,Others,,1,Low,IT Department,
2025-03-07,09:09,Asset Check Out,Laptop,1,Medium,Asset Department,
2025-11-26,16:04,IT Support,Internet/Network Connectivity Issue,1,Critical,IT Department,
2025-07-18,16:33,New Budget Proposal,Operational Expenses (OpEx),1,Critical,Budget Department,
2025-01-29,15:55,IT Support,Hardware Troubleshooting,1,High,IT Department,
2025-03-06,21:14,IT Support,Hardware Troubleshooting,1,High,IT Department,
2025-10-10,15:13,Others,,1,Critical,IT Department,
2025-02-11,14:37,IT Support,Hardware Troubleshooting,1,Medium,IT Department,
2025-02-03,15:30,Others,General Inquiry,1,Critical,IT Department,
2025-12-01,09:10,IT Support,Software Installation/Update,1,High,IT Department,
2025-07-03,12:27,IT Support,Virus/Malware Check,1,Medium,IT Department,
2025-04-14,10:07,Others,,1,Low,IT Department,
2025-10-14,07:13,New Budget Proposal,Capital Expenses (CapEx),1,Medium,Budget Department,
2025-04-11,16:34,New Budget Proposal,Operational Expenses (OpEx),1,High,Budget Department,
2025-09-05,11:29,IT Support,Data Backup/Restore,1,High,IT Department,
2025-01-28,09:40,New Budget Proposal,Capital Expenses (CapEx),1,Low,Budget Department,
2025-11-04,17:26,New Budget Proposal,Operational Expenses (OpEx),1,High,Budget Department,
2025-12-18,14:41,Asset Check Out,Laptop,1,Critical,Asset Department,
2025-05-26,09:04,IT Support,Virus/Malware Check,1,Medium,IT Department,
2025-03-07,10:51,Asset Check In,Monitor,1,Low,Asset Department,
2025-08-01,13:18,IT Support,Hardware Troubleshooting,1,High,IT Department,
2025-02-21,15:22,IT Support,Virus/Malware Check,1,Critical,IT Department,
2025-01-18,12:22,IT Support,Software Installation/Update,1,Critical,IT Department,
2025-02-20,08:25,Asset Check Out,Keyboard,1,High,Asset Department,
2025-03-04,15:50,New Budget Proposal,Capital Expenses (CapEx),1,Medium,Budget Department,
2025-12-22,15:04,Asset Check Out,Keyboard,1,Critical,Asset Department,
2025-01-13,15:25,Asset Check Out,Keyboard,1,Medium,Asset Department,
2025-04-22,22:13,IT Support,Technical Assistance,1,Critical,IT Department,
2025-08-05,10:57,IT Support,Virus/Malware Check,1,Low,IT Department,
2025-07-25,11:00,Asset Check Out,Keyboard,1,Low,Asset Department,
2025-05-16,16:27,IT Support,Technical Assistance,1,Low,IT Department,
2025-09-30,16:58,IT Support,Hardware Troubleshooting,1,Low,IT Department,
2025-01-17,15:30,Others,General Inquiry,1,Low,IT Department,
2025-10-09,14:31,IT Support,Internet/Network Connectivity Issue,1,Critical,IT Department,
2025-05-21,16:27,Asset Check In,Monitor,1,Low,Asset Department,
2026-01-06,16:13,IT Support,Software Installation/Update,1,High,IT Department,
2025-01-16,16:51,New Budget Proposal,Capital Expenses (CapEx),1,Medium,Budget Department,
2025-11-19,11:16,Asset Check In,Monitor,1,Medium,Asset Department,
2025-12-04,16:42,IT Support,Software Installation/Update,1,Low,IT Department,
2025-10-29,09:20,Asset Check In,Monitor,1,Low,Asset Department,
2025-01-17,08:07,Asset Check Out,Laptop,1,Medium,Asset Department,
2025-04-28,11:27,IT Support,Hardware Troubleshooting,1,Medium,IT Department,
2025-10-02,10:24,IT Support,Data Backup/Restore,1,Critical,IT Department,
